dataA,dataB
17713,9383
36933,887
34262,2778
19985,6917
29293,7797
74317,8340
79460,5395
3356,501
18949,6661
70018,1433
56659,2374
47601,42
2754,8705
59469,76
22496,7780
25331,3944
58588,568
4903,3454
65300,9201
48561,5766
8484,5243
61670,5401
79679,2603
50514,6467
40216,5820
64252,1571
3911,2910
57275,5173
7674,4121
48557,3192
35502,3988
44792,9862
18998,4087
22205,3126
57550,3137
29157,8237
15612,1464
13381,8528
66745,5088
57012,8122
52338,6309
52265,7454
54157,4502
48285,5001
37514,3867
55871,8624
47946,5287
45988,4417
64316,8412
62337,4468
14907,6516
36565,3633
40893,6199
19327,9092
79314,10073
16035,1990
55410,6979
13256,9290
72685,7122
59006,7408
24941,2433
21769,1054
70417,7214
35071,6459
78523,472
9535,6642
37796,983
38939,1868
63868,1452
75662,6001
73689,6269
33069,4040
61057,9730
53572,694
74170,8967
16245,3521
51661,5589
61671,519
35737,4199
58986,3909
65323,1249
70568,6971
59255,7443
27225,7353
78385,5964
50235,3763
4854,5583
63914,2831
7300,2938
49891,2586
7900,10121
6566,5252
67701,9871
42119,3566
9110,7937
26254,212
45901,6431
7847,8792
17211,8300
53279,7745
21675,1002
77619,778
27238,1643
68933,591
36861,7685
5088,6826
32084,328
39115,3133
4282,3549
62756,727
70118,6887
53729,994
2090,7540
54028,523
44286,4529
50306,9685
43863,4109
14650,9934
731,8690
4681,6870
71521,8694
37406,4984
12102,8289
52016,8375
34785,8355
30670,6030
50427,4742
50251,937
34030,984
31300,9205
37673,4850
58847,8141
18193,9783
30481,2641
69142,4876
23286,7256
12742,5598
20005,4977
63176,6517
49661,8924
58577,1828
69359,3173
19357,6038
8520,9136
14581,9812
11840,335
65435,8587
75397,3685
30720,10027
64797,7037
78155,6663
12208,8472
34442,8123
26770,1051
78740,2954
67980,2581
64192,3185
7820,3794
11502,3264
50801,3906
52126,2736
16735,7845
52758,8121
36010,8587
5257,10202
62758,2711
9256,5555
5505,1869
61408,7403
63657,8136
28288,496
67950,5286
58835,7361
11086,6233
26561,4121
63840,6873
61571,2611
10653,8751
55229,10245
26111,2322
9362,1818
46561,2942
74000,6832
50446,9625
32040,3673
17373,5805
7818,1872
56503,6520
9205,9260
9869,4797
21123,6431
65640,1640
72470,8638
35967,4198
67352,6224
43481,4835
79169,6550
28696,1419
76891,6336
403,9939
29704,9190
31665,2820
55874,4859
72358,6180
48326,5030
21622,4957
32822,9032
37983,7267
20886,3335
55597,5249
3599,5569
25780,1135
44420,7820
59719,8369
37258,10375
55599,7461
63769,3790
27077,8212
6070,9940
71166,2654
74859,8962
77965,5974
32401,10248
4146,7203
53405,6124
27365,6070
53426,7988
51692,8629
3216,3447
44260,10280
7417,8167
65078,8581
42334,9042
33308,8966
75155,701
14509,10014
64156,9863
46101,9314
64376,6858
73559,9122
51360,4134
54778,8341
71861,9816
74130,7867
8385,6272
62457,6097
13329,4873
2317,5956
43519,3847
52637,4349
22465,8145
26438,2341
76657,6202
2593,4272
31028,5421
44402,1849
59431,9864
24017,9282
30213,9992
9296,9175
15044,9085
16830,4028
40469,7272
2218,3980
75840,8847
13411,3824
39550,3491
78039,8205
63811,2631
69922,6193
14737,3176
19350,2613
17066,4029
49832,2479
11090,9961
30252,6135
46937,8053
67419,660
37981,1566
38659,7725
52032,4476
5332,5528
67387,9532
17876,6497
14180,9263
78266,767
67989,7803
29595,8585
72384,9503
36544,3604
32144,3568
8143,4383
65821,3424
53028,10285
7111,7808
36457,1713
74807,3545
64485,7085
53378,5704
40326,1960
44643,2715
30357,8313
3778,4007
27036,6173
63666,6576
30434,9747
357,8086
58031,10397
4923,9822
53412,9062
33434,7532
62200,10058
26602,3995
25514,2821
15636,2312
200,2662
62312,2993
21785,5868
10917,7009
34811,8254
8875,8877
59165,9973
55258,8385
54480,8048
51862,5998
50339,1936
46402,5502
38700,5283
54783,8408
17237,10594
70138,6629
11252,10504
25611,4636
77930,6363
35560,2403
39656,6927
50394,1827
34433,9851
28335,6686
24649,7365
70742,4628
21816,9932
35945,3131
79342,7979
73537,2112
47919,4799
23124,6349
658,804
58274,10012
73581,2693
71682,8394
28113,4573
22690,8349
39263,6115
61176,1952
72284,10030
66725,7371
28100,6776
69878,4633
18122,1448
79144,3034
67020,6928
73083,1266
4109,3334
69666,8955
65755,9328
26754,9566
70823,10091
1566,8488
18556,1913
36581,6754
37599,8765
55806,1141
60229,5532
55817,6037
30923,2541
33391,9616
45583,8022
18356,2636
59636,8920
63340,6359
77383,6665
1576,2780
49591,3995
75946,8413
15195,10359
41818,3297
31980,1408
7918,2761
16452,3561
29823,2136
44451,5069
31230,9755
56731,9015
49714,4015
2236,4321
57138,7601
42740,2838
29392,3661
61077,1689
70457,10352
42283,6023
24898,9706
56773,10742
75326,10797
76995,1338
63902,8879
48454,9660
5622,8605
26796,7103
6346,4160
33676,4192
62251,2992
16172,2508
40147,3751
71531,10621
59613,8437
1687,2617
41783,1239
47480,10400
52936,5373
59884,8923
1799,4667
47477,10678
75915,7131
11624,7874
37391,4187
71834,3918
28174,6249
75720,3383
79739,1141
19899,5781
23935,8575
56160,10017
23878,2047
67028,4893
57989,6872
47490,10087
39908,10058
36043,4634
22152,6344
70282,3369
9621,4324
35572,4832
56640,1372
65567,7217
14429,942
54037,8941
59883,8968
12376,7670
57270,8478
75976,9824
63132,5717
18201,8623
78110,9626
