Iteration,Avg insertion times,Avg search times
0,0.17958,0.12914,
1,0.24567,0.10145,
2,0.22949,0.11401,
3,0.23803,0.11437,
4,0.23152,0.11439,
5,0.26086,0.11651,
6,0.26568,0.12355,
7,0.27577,0.12155,
8,0.27722,0.13528,
9,0.26946,0.13217,
10,0.29804,0.12736,
11,0.29798,0.13707,
12,0.28877,0.13959,
13,0.27167,0.13604,
14,0.30435,0.14319,
15,0.31137,0.14577,
16,0.30271,0.14279,
17,0.32086,0.14976,
18,0.29873,0.14755,
19,0.32302,0.1523,
20,0.31354,0.15429,
21,0.3178,0.15642,
22,0.30121,0.15563,
23,0.48746,0.15869,
24,0.32368,0.16164,
25,0.32196,0.1659,
26,0.30897,0.16795,
27,0.31925,0.15746,
28,0.32965,0.16559,
29,0.32723,0.16188,
30,0.3096,0.16926,
31,0.3313,0.16795,
32,0.33053,0.16545,
33,0.33994,0.17001,
34,0.31034,0.15967,
35,0.33032,0.16391,
36,0.33468,0.16864,
37,0.31355,0.16889,
38,0.33722,0.17279,
39,0.33955,0.17193,
40,0.3386,0.17643,
41,0.31754,0.17318,
42,0.34718,0.17481,
43,0.34645,0.16889,
44,0.33638,0.17441,
45,0.33611,0.17533,
46,0.35663,0.17644,
47,0.35288,0.18196,
48,0.35156,0.17092,
49,0.33979,0.1823,
50,0.36768,0.18442,
51,0.35082,0.18723,
52,0.34678,0.16859,
53,0.34411,0.18834,
54,0.36158,0.1819,
55,0.3501,0.1828,
56,0.35462,0.18278,
57,0.33185,0.18591,
58,0.35555,0.1758,
59,0.35739,0.18865,
60,0.33005,0.18421,
61,0.35768,0.18975,
62,0.37029,0.18299,
63,0.36749,0.18409,
64,0.35567,0.18335,
65,0.36772,0.1878,
66,0.36856,0.18412,
67,0.34119,0.18727,
68,0.37706,0.19007,
69,0.50212,0.2165,
70,0.47732,0.18387,
71,0.35433,0.18879,
72,0.37032,0.19785,
73,0.38218,0.1897,
74,0.37038,0.20493,
75,0.34299,0.19836,
76,0.36557,0.19313,
77,0.37388,0.19272,
78,0.36846,0.1881,
79,0.38377,0.19783,
80,0.37807,0.19685,
81,0.39455,0.20156,
82,0.34923,0.19885,
83,0.38605,0.20396,
84,0.37903,0.19677,
85,0.36028,0.19997,
86,0.37205,0.20477,
87,0.39194,0.20345,
88,0.40525,0.18487,
89,0.36808,0.20748,
90,0.38048,0.19957,
91,0.38476,0.20878,
92,0.37026,0.20589,
93,0.40083,0.20794,
94,0.37956,0.21317,
95,0.35987,0.20321,
96,0.39793,0.20393,
97,0.39321,0.20372,
98,0.39782,0.21267,
99,0.3552,0.20381,
100,0.38771,0.20574,
101,0.3836,0.21351,
102,0.36039,0.21249,
103,0.38607,0.21032,
104,0.38606,0.20965,
105,0.37578,0.20525,
106,0.3671,0.20017,
107,0.38756,0.212,
108,0.36322,0.20638,
109,0.37438,0.2113,
110,0.4063,0.20512,
111,0.37747,0.21097,
112,0.38037,0.2116,
113,0.3955,0.21318,
114,0.37977,0.22134,
115,0.39548,0.21959,
116,0.40154,0.21922,
117,0.36844,0.21054,
118,0.39882,0.21046,
119,0.39782,0.20444,
120,0.38044,0.21806,
121,0.4163,0.21691,
122,0.3806,0.19914,
123,0.3605,0.22313,
124,0.38555,0.21952,
125,0.41559,0.20758,
126,0.36515,0.21391,
127,0.38398,0.2162,
128,0.46714,0.21524,
129,0.36528,0.21643,
130,0.40523,0.22488,
131,0.38982,0.22192,
132,0.35876,0.22034,
133,0.41676,0.21754,
134,0.40105,0.21272,
135,0.38476,0.22173,
136,0.40516,0.2178,
137,0.39639,0.22512,
138,0.36801,0.22394,
139,0.41558,0.21594,
140,0.40094,0.21599,
141,0.38175,0.22639,
142,0.38722,0.21695,
143,0.40846,0.22458,
144,0.37462,0.22442,
145,0.39524,0.22416,
146,0.40265,0.21865,
147,0.39725,0.21393,
148,0.40024,0.2152,
149,0.40597,0.22935,
150,0.38489,0.22936,
151,0.40821,0.22788,
152,0.37139,0.22054,
153,0.39965,0.23065,
154,0.38929,0.22325,
155,0.40029,0.21737,
156,0.41292,0.22919,
157,0.40929,0.23053,
158,0.38628,0.23541,
159,0.40444,0.22144,
160,0.41663,0.24032,
161,0.38746,0.22343,
162,0.42452,0.22609,
163,0.41303,0.22796,
164,0.3774,0.23566,
165,0.40626,0.2212,
166,0.42092,0.23695,
167,0.36944,0.23876,
168,0.39602,0.2441,
169,0.36865,0.23428,
170,0.41865,0.23552,
171,0.40849,0.22397,
172,0.39233,0.23601,
173,0.40201,0.22924,
174,0.41778,0.22843,
175,0.38483,0.23035,
176,0.39825,0.23004,
177,0.39412,0.23207,
178,0.42327,0.24615,
179,0.4268,0.23244,
180,0.3808,0.23205,
181,0.42203,0.22287,
182,0.41794,0.236,
183,0.39795,0.23951,
184,0.40832,0.23481,
185,0.41933,0.23715,
186,0.41099,0.23498,
187,0.40598,0.23301,
188,0.39295,0.24031,
189,0.42608,0.23701,
190,0.41796,0.23717,
191,0.41312,0.22126,
192,0.41554,0.23167,
193,0.39861,0.23447,
194,0.42984,0.24034,
195,0.44988,0.23515,
196,0.40126,0.2335,
197,0.42018,0.24036,
198,0.43548,0.25039,
199,0.3825,0.23804,
200,0.41125,0.23892,
201,0.39979,0.23868,
202,0.3943,0.2384,
203,0.39979,0.23001,
204,0.39276,0.23595,
205,0.41556,0.23752,
206,0.4028,0.24176,
207,0.43002,0.2431,
208,0.40281,0.25461,
209,0.38686,0.23851,
210,0.42031,0.24802,
211,0.39177,0.24088,
212,0.41821,0.25399,
213,0.4006,0.24818,
214,0.40529,0.24902,
215,0.41691,0.23782,
216,0.40123,0.24404,
217,0.41669,0.24829,
218,0.40747,0.23127,
219,0.38593,0.23583,
220,0.41577,0.23843,
221,0.39478,0.2436,
222,0.44131,0.24928,
223,0.4546,0.24769,
224,0.39201,0.24322,
225,0.42289,0.26416,
226,0.41705,0.23645,
227,0.42286,0.25024,
228,0.43271,0.24783,
