Iteration,Avg insertion times,Avg search times
0,0.1936,0.128,
1,0.26194,0.1007,
2,0.248,0.11033,
3,0.24801,0.11389,
4,0.24043,0.12026,
5,0.26794,0.11679,
6,0.28061,0.12609,
7,0.28351,0.12849,
8,0.25808,0.13484,
9,0.29137,0.13651,
10,0.2823,0.13401,
11,0.2856,0.14131,
12,0.30878,0.14028,
13,0.32196,0.14659,
14,0.32835,0.13902,
15,0.29575,0.14206,
16,0.33523,0.1493,
17,0.34321,0.15056,
18,0.32917,0.144,
19,0.35716,0.15483,
20,0.37009,0.15555,
21,0.36626,0.16225,
22,0.35492,0.16357,
23,0.36849,0.16551,
24,0.34274,0.17477,
25,0.38836,0.17095,
26,0.40565,0.17114,
27,0.3737,0.17078,
28,0.38174,0.18012,
29,0.42514,0.16775,
30,0.42643,0.18576,
31,0.44358,0.19257,
32,0.46322,0.19401,
33,0.42689,0.19556,
34,0.46889,0.18495,
35,0.46524,0.19265,
36,0.52961,0.19898,
37,0.51191,0.20716,
38,0.5028,0.19578,
39,0.53273,0.20999,
40,0.55512,0.21833,
41,0.55373,0.19723,
42,0.602,0.21964,
43,0.53906,0.19744,
44,0.59067,0.20784,
45,0.68765,0.22097,
46,0.67849,0.21388,
47,0.67345,0.22411,
48,0.67565,0.21425,
49,0.72884,0.21279,
50,0.72522,0.2283,
51,0.75601,0.24174,
52,0.71441,0.22693,
53,0.76555,0.25082,
54,0.79052,0.25479,
55,0.74994,0.25069,
56,0.7609,0.24157,
57,0.80133,0.24958,
58,2.36817,0.42116,
59,1.0179,0.27172,
60,0.91146,0.26746,
61,0.84989,0.28499,
62,0.96584,0.26659,
63,0.93493,0.27448,
64,0.99365,0.2801,
65,0.95417,0.28755,
66,1.0167,0.29039,
67,1.71888,0.44758,
68,1.08515,0.31531,
69,1.64711,0.3981,
70,1.3142,0.34356,
71,1.29451,0.33757,
72,1.23374,0.35367,
73,1.45149,0.36795,
74,1.38023,0.39912,
75,1.45843,0.38206,
76,1.48132,0.37424,
77,1.43748,0.37824,
78,1.54582,0.32763,
79,1.21961,0.33728,
80,1.28248,0.32481,
81,1.24641,0.35078,
82,1.25962,0.35283,
83,1.28295,0.37788,
84,1.37484,0.36358,
85,1.33969,0.36499,
86,1.39418,0.37876,
87,1.45614,0.37692,
88,1.49917,0.35563,
89,1.52068,0.41949,
90,1.46231,0.3927,
91,1.54024,0.4307,
92,1.48588,0.40123,
93,1.59157,0.3924,
