Iteration,Avg insertion times,Avg search times
0,0.82,0.32,
1,0.69,0.28,
2,0.64,0.28,
3,0.62,0.28,
4,0.62,0.28,
5,0.59,0.29,
6,0.58,0.28,
7,0.56,0.28,
8,0.56,0.28,
9,0.56,0.28,
10,0.56,0.28,
11,0.57,0.29,
12,0.51,0.28,
13,0.53,0.28,
14,0.55,0.29,
15,0.76,0.29,
16,0.52,0.29,
17,0.51,0.29,
18,0.52,0.29,
19,0.51,0.29,
20,0.57,0.29,
21,0.51,0.29,
22,0.51,0.29,
23,0.51,0.29,
24,0.48,0.29,
25,0.49,0.29,
26,0.52,0.29,
27,0.51,0.29,
28,0.48,0.29,
29,0.51,0.29,
30,0.5,0.29,
31,0.48,0.29,
32,0.49,0.29,
33,0.49,0.29,
34,0.47,0.29,
35,0.48,0.29,
36,0.5,0.29,
37,0.47,0.29,
38,0.49,0.29,
39,0.47,0.29,
40,0.47,0.29,
41,0.46,0.29,
42,0.47,0.29,
43,0.48,0.29,
44,0.48,0.29,
45,0.47,0.29,
46,0.48,0.29,
47,0.47,0.29,
48,0.47,0.29,
49,0.62,0.4,
50,0.46,0.29,
51,0.47,0.29,
52,0.46,0.29,
53,0.47,0.29,
54,0.46,0.29,
55,0.48,0.29,
56,0.47,0.29,
57,0.48,0.29,
58,0.49,0.29,
59,0.46,0.29,
60,0.46,0.29,
61,0.46,0.29,
62,0.46,0.29,
63,0.44,0.29,
64,0.44,0.29,
65,0.59,0.3,
66,0.47,0.29,
67,0.44,0.29,
68,0.47,0.29,
69,0.48,0.29,
70,0.45,0.29,
71,0.44,0.29,
72,0.45,0.29,
73,0.44,0.29,
74,0.43,0.29,
75,0.45,0.29,
76,0.46,0.29,
77,0.46,0.29,
78,0.43,0.29,
79,0.46,0.29,
80,0.46,0.29,
81,0.47,0.29,
82,0.44,0.3,
83,0.45,0.29,
84,0.43,0.29,
85,0.45,0.29,
86,0.42,0.3,
87,0.46,0.29,
88,0.46,0.29,
89,0.43,0.3,
90,0.45,0.29,
91,0.45,0.29,
92,0.44,0.29,
93,0.55,0.29,
94,0.44,0.3,
95,0.42,0.3,
96,0.45,0.29,
97,0.42,0.3,
98,0.45,0.29,
99,0.41,0.29,
100,0.45,0.29,
101,0.41,0.29,
102,0.42,0.29,
103,0.48,0.29,
104,0.41,0.29,
105,0.42,0.29,
106,0.43,0.29,
107,0.42,0.3,
108,0.4,0.29,
109,0.43,0.3,
110,0.42,0.3,
111,0.42,0.3,
112,0.42,0.29,
113,0.41,0.29,
114,0.44,0.3,
115,0.43,0.29,
116,0.41,0.29,
117,0.41,0.29,
118,0.4,0.3,
119,0.46,0.29,
120,0.42,0.3,
121,0.44,0.3,
122,0.42,0.3,
123,0.44,0.29,
124,0.42,0.3,
125,0.43,0.3,
126,0.41,0.3,
127,0.43,0.3,
128,0.41,0.3,
129,0.41,0.3,
130,0.41,0.3,
131,0.4,0.3,
132,0.41,0.3,
133,0.41,0.3,
134,0.43,0.3,
135,0.41,0.3,
136,0.41,0.3,
137,0.4,0.29,
138,0.4,0.3,
139,0.42,0.3,
140,0.41,0.3,
141,0.41,0.29,
142,0.4,0.3,
143,0.42,0.29,
144,0.39,0.3,
145,0.38,0.3,
146,0.43,0.29,
147,0.41,0.3,
148,0.4,0.3,
149,0.39,0.3,
150,0.41,0.3,
151,0.4,0.3,
152,0.4,0.3,
153,0.37,0.3,
154,0.4,0.3,
155,0.43,0.3,
156,0.41,0.3,
157,0.4,0.3,
158,0.41,0.3,
159,0.4,0.3,
160,0.41,0.3,
161,0.46,0.3,
162,0.4,0.3,
163,0.4,0.3,
164,0.4,0.3,
165,0.4,0.3,
166,0.39,0.3,
167,0.38,0.3,
168,0.37,0.3,
169,0.39,0.3,
170,0.39,0.3,
171,0.41,0.3,
172,0.38,0.3,
173,0.48,0.3,
174,0.41,0.3,
175,0.37,0.3,
176,0.4,0.3,
177,0.39,0.3,
178,0.4,0.3,
179,0.4,0.3,
180,0.39,0.3,
181,0.42,0.3,
182,0.4,0.3,
183,0.39,0.3,
184,0.39,0.3,
185,0.4,0.3,
186,0.4,0.3,
187,0.4,0.3,
188,0.39,0.3,
189,0.37,0.3,
190,0.4,0.3,
191,0.41,0.3,
192,0.4,0.3,
193,0.39,0.3,
194,0.38,0.3,
195,0.4,0.3,
196,0.39,0.3,
197,0.4,0.31,
198,0.4,0.3,
199,0.37,0.3,
200,0.39,0.3,
201,0.4,0.3,
202,0.39,0.3,
203,0.39,0.3,
204,0.38,0.3,
205,0.39,0.3,
206,0.39,0.31,
207,0.4,0.3,
208,0.37,0.3,
209,0.41,0.3,
210,0.4,0.3,
211,0.38,0.3,
212,0.4,0.3,
213,0.4,0.3,
214,0.51,0.31,
215,0.41,0.31,
216,0.4,0.31,
217,0.4,0.3,
218,0.39,0.31,
219,0.36,0.3,
220,0.4,0.3,
221,0.41,0.3,
222,0.38,0.31,
223,0.39,0.3,
224,0.39,0.3,
225,0.39,0.3,
226,0.37,0.31,
227,0.4,0.31,
228,0.4,0.3,
229,0.4,0.3,
230,0.42,0.3,
231,0.39,0.31,
232,0.37,0.31,
233,0.39,0.31,
234,0.39,0.3,
235,0.37,0.3,
236,0.39,0.3,
237,0.4,0.31,
238,0.4,0.3,
239,0.37,0.3,
240,0.4,0.3,
241,0.38,0.3,
242,0.4,0.3,
243,0.38,0.3,
244,0.38,0.3,
245,0.39,0.3,
246,0.4,0.3,
247,0.39,0.31,
248,0.39,0.3,
249,0.37,0.31,
250,0.4,0.3,
251,0.38,0.31,
252,0.38,0.3,
253,0.4,0.3,
254,0.37,0.3,
255,0.39,0.3,
256,0.37,0.3,
257,0.39,0.3,
258,0.39,0.3,
259,0.37,0.33,
260,0.39,0.3,
261,0.4,0.3,
262,0.37,0.31,
263,0.39,0.31,
264,0.39,0.31,
265,0.38,0.3,
266,0.39,0.31,
267,0.37,0.31,
268,0.4,0.3,
269,0.39,0.3,
270,0.36,0.3,
271,0.39,0.31,
272,0.37,0.31,
273,0.39,0.31,
274,0.39,0.31,
275,0.38,0.31,
276,0.39,0.3,
277,0.37,0.31,
278,0.39,0.3,
279,0.38,0.31,
280,0.39,0.31,
281,0.36,0.31,
282,0.39,0.31,
283,0.38,0.3,
284,0.39,0.31,
285,0.37,0.31,
286,0.4,0.3,
287,0.38,0.31,
288,0.39,0.3,
289,0.37,0.3,
290,0.38,0.31,
291,0.38,0.31,
292,0.39,0.31,
293,0.4,0.31,
294,0.37,0.3,
295,0.39,0.3,
296,0.37,0.31,
297,0.4,0.3,
298,0.37,0.31,
299,0.39,0.31,
300,0.37,0.31,
301,0.37,0.31,
302,0.39,0.31,
303,0.38,0.31,
304,0.38,0.3,
305,0.37,0.31,
306,0.38,0.3,
307,0.36,0.31,
308,0.37,0.31,
309,0.39,0.31,
310,0.37,0.31,
311,0.45,0.31,
312,0.37,0.31,
313,0.36,0.31,
314,0.38,0.31,
315,0.37,0.31,
316,0.39,0.32,
317,0.36,0.31,
318,0.4,0.31,
319,0.37,0.31,
320,0.39,0.31,
321,0.37,0.31,
322,0.4,0.3,
323,0.36,0.31,
324,0.37,0.32,
325,0.51,0.37,
326,0.43,0.36,
327,0.59,0.32,
328,0.4,0.32,
329,0.39,0.32,
330,0.37,0.32,
331,0.38,0.31,
332,0.39,0.32,
333,0.37,0.32,
334,0.39,0.31,
335,0.38,0.32,
336,0.38,0.32,
337,0.4,0.32,
338,0.37,0.31,
339,0.37,0.31,
340,0.39,0.32,
341,0.37,0.31,
342,0.4,0.31,
343,0.38,0.32,
344,0.4,0.31,
345,0.37,0.31,
346,0.37,0.32,
347,0.37,0.33,
348,0.4,0.32,
349,0.36,0.31,
350,0.37,0.32,
351,0.39,0.32,
352,0.37,0.32,
353,0.4,0.33,
354,0.38,0.32,
355,0.4,0.31,
356,0.37,0.32,
357,0.37,0.33,
358,0.39,0.32,
359,0.37,0.32,
360,0.39,0.31,
361,0.37,0.31,
362,0.39,0.31,
363,0.37,0.32,
364,0.37,0.31,
365,0.39,0.32,
366,0.37,0.32,
367,0.36,0.32,
368,0.38,0.32,
369,0.39,0.32,
370,0.37,0.32,
371,0.39,0.32,
372,0.37,0.32,
373,0.4,0.32,
374,0.39,0.32,
375,0.37,0.32,
376,0.39,0.32,
377,0.55,0.33,
378,0.38,0.32,
379,0.4,0.32,
380,0.37,0.32,
381,0.36,0.32,
382,0.39,0.32,
383,0.37,0.32,
384,0.37,0.31,
385,0.39,0.33,
386,0.36,0.32,
387,0.37,0.32,
388,0.37,0.32,
389,0.4,0.32,
390,0.37,0.32,
391,0.4,0.31,
392,0.38,0.31,
393,0.36,0.32,
394,0.39,0.31,
395,0.36,0.31,
396,0.38,0.32,
397,0.37,0.33,
398,0.39,0.32,
399,0.38,0.32,
