Iteration,Avg insertion times,Avg search times
0,0.71,0.3,
1,0.5,0.25,
2,0.5,0.26,
3,0.52,0.26,
4,0.47,0.26,
5,0.49,0.26,
6,0.45,0.26,
7,0.5,0.26,
8,0.45,0.26,
9,0.46,0.26,
10,0.47,0.26,
11,0.44,0.26,
12,0.43,0.26,
13,0.46,0.27,
14,0.41,0.26,
15,0.44,0.26,
16,0.44,0.27,
17,0.44,0.27,
18,0.45,0.27,
19,0.43,0.27,
20,0.44,0.27,
21,0.43,0.27,
22,0.41,0.27,
23,0.41,0.27,
24,0.43,0.27,
25,0.41,0.27,
26,0.44,0.27,
27,0.42,0.27,
28,0.4,0.27,
29,0.61,0.27,
30,0.41,0.27,
31,0.44,0.28,
32,0.41,0.27,
33,0.44,0.28,
34,0.41,0.27,
35,0.46,0.28,
36,0.44,0.28,
37,0.42,0.28,
38,0.4,0.28,
39,0.44,0.28,
40,0.41,0.28,
41,0.41,0.28,
42,0.44,0.28,
43,0.4,0.28,
44,0.46,0.28,
45,0.41,0.28,
46,0.42,0.28,
47,0.43,0.28,
48,0.41,0.28,
49,0.42,0.28,
50,0.44,0.28,
51,0.41,0.28,
52,0.41,0.28,
53,0.42,0.28,
54,0.42,0.28,
55,0.4,0.28,
56,0.4,0.28,
57,0.43,0.28,
58,0.42,0.28,
59,0.44,0.29,
60,0.43,0.29,
61,0.4,0.29,
62,0.42,0.29,
63,0.41,0.29,
64,0.44,0.29,
65,0.41,0.29,
66,0.41,0.28,
67,0.44,0.29,
68,0.41,0.28,
69,0.41,0.28,
70,0.44,0.29,
71,0.42,0.29,
72,0.41,0.29,
73,0.43,0.28,
74,0.41,0.29,
75,0.42,0.29,
76,0.44,0.29,
77,0.43,0.29,
78,0.43,0.29,
79,0.41,0.29,
80,0.41,0.29,
81,0.4,0.29,
82,0.41,0.29,
83,0.44,0.29,
84,0.42,0.29,
85,1.08,0.43,
86,0.43,0.29,
87,0.44,0.29,
88,0.42,0.29,
89,0.43,0.29,
90,0.47,0.29,
