Iteration,Avg insertion times,Avg search times,insertion_collisions,search_collisions
0,1.44127,0.06612,0,0
1,0.41875,0.02334,0,0
2,0.1485,0.02328,0,0
3,0.12196,0.02371,0,0
4,0.07789,0.02246,0,0
5,0.11802,0.02362,0,0
6,0.07768,0.02283,0,0
7,0.09681,0.02362,0,0
8,0.07723,0.02289,0,0
9,0.07745,0.023,0,0
10,0.09727,0.02443,0,1
11,0.07735,0.02446,0,1
12,0.0994,0.02403,0,0
13,0.07772,0.02331,0,0
14,0.0799,0.02461,0,4
15,0.09586,0.02376,0,0
16,0.07764,0.02394,0,1
17,0.09763,0.02465,0,1
18,0.07867,0.02406,0,1
19,0.07897,0.02477,0,3
20,0.10003,0.0242,0,0
21,0.07784,0.02397,0,1
22,0.09927,0.0256,0,2
23,0.07899,0.02441,0,1
24,0.07719,0.02463,0,1
25,0.09911,0.027,0,4
26,0.07837,0.02505,0,1
27,0.08034,0.02455,0,1
28,0.10278,0.02496,1,0
29,0.07844,0.02567,0,2
30,0.09793,0.02631,0,4
31,0.07885,0.02513,0,1
32,0.07995,0.02557,0,3
33,0.09759,0.02594,0,2
34,0.07887,0.02495,0,1
35,0.09859,0.0267,1,4
36,0.07843,0.02592,0,3
37,0.08062,0.02481,2,1
38,0.09766,0.02574,0,1
39,0.07845,0.02588,0,3
40,0.10093,0.02615,0,2
41,0.08046,0.02593,1,1
42,0.07885,0.02685,0,3
43,0.09923,0.02734,1,5
44,0.07872,0.02594,0,1
45,0.09813,0.02649,0,2
46,0.07844,0.02858,0,8
47,0.10075,0.02754,1,3
48,0.09715,0.02627,0,2
49,0.0792,0.02677,0,2
50,0.07973,0.0265,1,2
51,0.09848,0.02614,0,1
52,0.07981,0.0283,0,4
53,0.09905,0.02771,1,5
54,0.07963,0.02936,0,7
55,0.07999,0.02819,1,3
56,0.10005,0.02746,1,4
57,0.08078,0.02764,0,2
58,0.09862,0.02829,0,4
59,0.08001,0.02902,1,6
60,0.07956,0.0284,0,5
61,0.10158,0.02731,2,2
62,0.07968,0.02774,0,4
63,0.09974,0.02651,0,1
64,0.08076,0.02779,1,5
65,0.08322,0.02896,1,6
66,0.0985,0.03034,0,9
67,0.08234,0.02696,2,2
68,0.08131,0.02791,2,5
69,0.09874,0.02845,1,4
70,0.08075,0.02884,3,3
71,0.099,0.02932,2,6
72,0.08153,0.03057,1,7
73,0.0922,0.033,2,6
74,0.11447,0.03177,1,2
75,0.09251,0.03219,1,4
76,0.11867,0.03264,6,3
77,0.18243,0.02887,1,4
78,0.08138,0.02872,2,3
79,0.10004,0.02949,0,4
80,0.07965,0.03168,1,8
81,0.10229,0.03201,1,10
82,0.0833,0.02885,1,3
83,0.08248,0.03017,2,6
84,0.10309,0.0305,0,6
85,0.08152,0.03045,2,4
86,0.1034,0.02922,4,4
87,0.08159,0.02855,3,2
88,0.08172,0.02853,1,3
89,0.10233,0.03194,3,7
90,0.0826,0.02967,3,2
91,0.0821,0.03011,1,4
92,0.1005,0.03042,0,7
93,0.0798,0.02912,1,4
94,0.10397,0.03129,3,8
95,0.08131,0.03058,1,6
96,0.08194,0.03216,3,7
97,0.10167,0.03216,2,10
98,0.08295,0.03046,2,6
99,0.10233,0.03112,0,6
100,0.08435,0.03104,5,5
101,0.08303,0.03006,3,5
102,0.10273,0.0298,5,5
103,0.08521,0.03091,3,6
104,0.39621,0.03319,3,7
105,0.08168,0.03127,1,5
106,0.08672,0.03216,5,5
107,0.10713,0.03142,3,3
108,0.08275,0.03179,1,5
109,0.10532,0.03096,6,4
110,0.08361,0.03172,3,5
111,0.08365,0.03389,4,10
112,0.10696,0.03403,12,11
113,0.08512,0.03163,9,7
114,0.08406,0.03342,5,9
115,0.10388,0.03364,5,13
116,0.08275,0.03224,3,8
117,0.10405,0.03037,3,3
118,0.0847,0.03292,5,8
119,0.08254,0.03323,3,10
120,0.10302,0.0332,1,10
121,0.08492,0.02938,6,4
122,0.10934,0.03115,4,6
123,0.08223,0.03196,3,7
124,0.08573,0.03349,4,11
125,0.10368,0.0329,2,7
126,0.08809,0.03184,6,7
127,0.10606,0.03332,5,9
128,0.08398,0.03416,3,11
129,0.08438,0.03256,8,8
130,0.10166,0.03166,2,5
131,0.08599,0.03104,2,3
132,0.08559,0.03113,5,3
133,0.10379,0.03181,2,6
134,0.08504,0.03225,8,8
135,0.10563,0.03236,5,5
136,0.08394,0.0322,3,7
137,0.0867,0.03065,3,6
138,0.10416,0.0323,4,7
139,0.08558,0.03324,6,11
140,0.10177,0.03322,5,11
141,0.08697,0.03416,4,12
142,0.08726,0.03201,11,7
143,0.10784,0.03173,4,6
144,0.08753,0.03029,10,2
145,0.10345,0.03404,3,10
146,0.08694,0.03568,8,15
147,0.08554,0.03283,4,4
148,0.10701,0.03109,7,3
149,0.0859,0.03348,6,8
150,0.10635,0.0315,5,6
151,0.08474,0.0328,4,8
152,0.0864,0.03376,7,12
153,0.10762,0.03392,5,10
154,0.08669,0.03318,7,8
155,0.08605,0.03442,5,11
156,0.10544,0.03311,6,8
157,0.08638,0.03239,6,4
158,0.10406,0.03333,7,8
159,0.08774,0.03284,6,7
160,0.08645,0.03236,12,8
161,0.10554,0.03576,5,13
162,0.08364,0.03252,4,5
163,0.11002,0.03436,8,12
164,0.08848,0.03527,12,12
165,0.08828,0.03442,9,9
166,0.10665,0.036,7,13
167,0.10814,0.03457,9,12
168,0.10594,0.03391,8,9
169,0.08958,0.03487,9,11
170,0.08833,0.03419,7,8
171,0.10721,0.03405,6,11
172,0.0871,0.03597,11,15
173,0.10737,0.03588,6,13
174,0.08712,0.03326,7,6
175,0.09109,0.0335,15,8
176,0.10681,0.03468,11,9
177,0.08857,0.03469,9,13
178,0.08989,0.0348,12,12
179,0.10601,0.03396,4,11
180,0.08968,0.03483,9,9
181,0.10691,0.0332,4,8
182,0.08993,0.03807,7,10
183,0.09207,0.03651,11,12
184,0.10911,0.03481,11,13
185,0.08571,0.03512,4,11
186,0.10993,0.0345,9,11
187,0.08839,0.03592,8,13
188,0.08856,0.03438,8,13
189,0.10894,0.03539,14,12
190,0.08865,0.03428,8,11
191,0.10701,0.03647,10,14
192,0.08798,0.03686,5,16
193,0.08959,0.03633,10,14
194,0.1079,0.03498,10,11
195,0.08993,0.03638,8,12
196,0.09063,0.03443,10,9
197,0.11288,0.03314,13,7
198,0.08992,0.03397,7,8
199,0.11004,0.03499,10,10
200,0.09041,0.03755,14,16
201,0.1188,0.03434,17,9
202,0.11022,0.03645,12,14
203,0.09647,0.03617,19,11
204,0.11091,0.03409,14,6
205,0.08966,0.03689,8,14
206,0.09515,0.03721,17,14
207,0.10964,0.03492,8,11
208,0.09292,0.03554,11,12
209,0.11077,0.03566,12,13
210,0.09236,0.03836,19,18
211,0.08871,0.03455,5,8
212,0.1135,0.03912,11,19
213,0.09097,0.03612,13,16
214,0.11124,0.03765,11,18
215,0.09128,0.03879,9,18
216,0.09182,0.03677,9,16
217,0.11403,0.03503,12,9
218,0.09391,0.03524,8,9
219,0.09584,0.03653,20,13
220,0.11605,0.03726,14,17
221,0.09113,0.036,10,12
222,0.11092,0.03752,14,15
223,0.09163,0.03641,10,13
224,0.09019,0.03522,12,9
225,0.11397,0.03521,11,10
226,0.08832,0.03589,11,14
227,0.11259,0.03366,12,6
228,0.09247,0.03727,16,15
229,0.0928,0.03499,17,10
230,0.11322,0.03753,14,16
231,0.09402,0.03843,17,20
232,0.11315,0.03725,10,14
233,0.09589,0.03475,16,10
234,0.09409,0.03561,17,10
235,0.11308,0.03759,10,17
236,0.09618,0.03719,20,13
237,0.11518,0.03875,16,18
238,0.0917,0.03659,10,11
239,0.09711,0.03465,17,9
240,0.11421,0.03445,16,7
241,0.09387,0.0336,10,7
242,0.09448,0.03696,15,19
243,0.11351,0.03637,13,13
244,0.09603,0.03654,13,14
245,0.11697,0.0375,20,17
246,0.0936,0.03593,9,13
247,0.09543,0.03663,13,12
248,0.11965,0.03714,21,14
249,0.09705,0.03626,15,14
250,0.11398,0.03722,13,15
251,0.09647,0.03929,15,18
252,0.09736,0.03645,23,13
253,0.11167,0.03853,4,15
254,0.09247,0.03692,13,12
255,0.11652,0.03607,10,14
256,0.09605,0.03728,15,16
257,0.0976,0.03746,19,14
258,0.11498,0.03916,15,17
259,0.0974,0.03868,12,18
260,0.09433,0.04008,14,22
261,0.11562,0.03445,16,9
262,0.09632,0.03485,12,10
263,0.11564,0.03729,14,15
264,0.09729,0.03691,20,13
265,0.0952,0.03933,14,19
266,0.11176,0.03787,16,16
267,0.09567,0.03714,19,14
268,0.1159,0.03569,17,12
269,0.09588,0.03918,18,18
270,0.096,0.03731,17,13
271,0.11841,0.03927,21,20
272,0.09634,0.04048,23,23
273,0.11703,0.03947,14,19
274,0.09215,0.0373,8,15
275,0.09361,0.03746,14,14
276,0.11787,0.03857,15,18
277,0.09649,0.0398,15,19
278,0.11845,0.03564,24,10
279,0.09917,0.03992,28,19
280,0.09558,0.0392,20,17
281,0.11934,0.03968,28,20
282,0.09917,0.04227,19,26
283,0.09566,0.03672,11,14
284,0.11842,0.03675,20,11
285,0.10041,0.03915,29,19
286,0.16456,0.0392,17,16
287,0.10219,0.03824,27,15
288,0.10002,0.0421,19,24
289,0.11807,0.03793,19,13
290,0.10224,0.036,26,11
291,0.11878,0.0399,21,19
292,0.09883,0.03901,23,18
293,0.09512,0.03798,13,15
294,0.11465,0.0362,14,13
295,0.0994,0.04287,20,26
296,0.11989,0.03589,23,10
297,0.102,0.03915,29,17
298,0.099,0.0357,24,10
299,0.12086,0.03925,24,19
300,0.10151,0.03945,27,17
301,0.11836,0.03733,24,13
302,0.10083,0.04082,23,22
303,0.10013,0.0372,21,15
304,0.12261,0.03746,31,13
305,0.10305,0.03751,21,15
306,0.09893,0.04211,22,27
307,0.12167,0.03773,21,14
308,0.09836,0.03765,25,15
309,0.54656,0.08367,32,19
310,0.23525,0.0618,22,18
311,0.18096,0.06007,18,21
312,0.14311,0.05987,21,22
313,0.16445,0.05426,22,17
314,0.14437,0.05536,27,17
315,0.13805,0.05506,21,16
316,0.1568,0.04887,23,27
317,0.11487,0.0442,17,16
318,0.136,0.04804,19,26
319,0.1203,0.04314,39,17
320,0.11499,0.0435,22,16
321,0.13448,0.04394,19,17
322,0.11787,0.0441,22,18
323,0.13533,0.04462,20,18
324,0.12148,0.0431,37,14
325,0.11273,0.04314,19,16
326,0.14091,0.04145,31,11
327,0.1136,0.04594,20,23
328,0.1394,0.04317,21,14
329,0.1134,0.043,21,17
330,0.113,0.04457,20,17
331,0.13762,0.04498,30,18
332,0.11397,0.0431,26,14
333,0.11644,0.04627,17,24
334,0.13806,0.0453,27,21
335,0.1142,0.04265,24,15
336,0.14085,0.0426,34,14
337,0.11762,0.04443,31,17
338,0.11603,0.04313,27,18
339,0.13793,0.04602,35,22
340,0.11715,0.04598,19,21
341,0.14223,0.04439,42,17
342,0.11772,0.04267,30,16
343,0.1096,0.04406,20,18
344,0.13323,0.04525,25,21
345,0.11934,0.0418,42,14
346,0.14294,0.04241,33,14
347,0.1182,0.0425,32,15
348,0.11516,0.0428,24,13
349,0.1404,0.04304,36,15
350,0.12211,0.0474,49,23
351,0.13662,0.0472,26,22
352,0.11653,0.04763,22,21
353,0.11954,0.04604,32,22
354,0.14016,0.04457,34,18
355,0.11622,0.04603,28,24
356,0.11658,0.0447,26,18
357,0.14074,0.04304,39,14
358,0.12173,0.03898,31,7
359,0.14375,0.043,38,16
360,0.1169,0.04776,26,26
361,0.1203,0.04417,34,20
362,0.13787,0.04632,22,23
363,0.1119,0.04759,19,26
364,0.13856,0.04633,29,22
365,0.12054,0.0444,39,16
366,0.1201,0.04423,35,15
367,0.14767,0.04822,37,25
368,0.11547,0.04292,31,16
369,0.1363,0.04311,29,14
370,0.11577,0.04396,25,17
371,0.11926,0.04188,36,14
372,0.13799,0.0443,28,21
373,0.11163,0.04655,22,23
374,0.19176,0.04011,21,21
375,0.12441,0.04007,37,19
376,0.10432,0.04306,40,27
377,0.12425,0.04185,41,22
378,0.10238,0.04164,28,22
379,0.10246,0.04224,27,23
380,0.12159,0.04154,20,20
381,0.10472,0.03944,37,16
382,0.1247,0.04133,26,21
383,0.10369,0.03697,33,11
384,0.10281,0.03972,30,18
385,0.12258,0.04597,34,35
386,0.10435,0.04312,39,30
387,0.12425,0.04306,30,24
388,0.10165,0.03979,27,16
389,0.10886,0.03754,45,12
390,0.12408,0.04357,24,27
391,0.10372,0.03888,24,16
392,0.12925,0.03824,33,17
393,0.1072,0.042,39,23
394,0.10835,0.04482,41,28
395,0.1265,0.04292,37,25
396,0.10569,0.04163,34,23
397,0.10758,0.04241,41,23
398,0.12579,0.04116,36,23
399,0.10839,0.04268,38,21
