Iteration,Avg insertion times,Avg search times,insertion_collisions,search_collisions
0,0.64403,0.08062,0,0
1,0.10271,0.02165,0,0
2,0.10639,0.02161,0,0
3,0.09991,0.02283,0,0
4,0.10139,0.0224,0,0
5,0.10045,0.02195,0,0
6,0.10122,0.02292,0,0
7,0.09842,0.02474,0,0
8,0.09829,0.02292,0,0
9,0.07774,0.02278,0,0
10,0.09869,0.0225,0,0
11,0.07569,0.02266,0,0
12,0.11933,0.02356,1,0
13,0.07523,0.0228,1,0
14,0.07775,0.02239,1,0
15,0.11778,0.02315,0,0
16,0.07701,0.0225,0,0
17,0.1193,0.0238,0,0
18,0.07563,0.02284,1,0
19,0.09862,0.02311,2,0
20,0.10035,0.02316,2,0
21,0.07631,0.02276,1,0
22,0.09888,0.02462,2,0
23,0.09727,0.02316,4,0
24,0.10058,0.0235,0,0
25,0.09787,0.02342,1,0
26,0.09947,0.02322,0,0
27,0.07637,0.02328,1,0
28,0.10025,0.02317,3,0
29,0.10082,0.02429,1,0
30,0.09955,0.02402,5,0
31,0.10304,0.02356,2,0
32,0.07696,0.02321,1,0
33,0.09921,0.0238,0,0
34,0.07728,0.02402,2,0
35,0.12043,0.02384,3,0
36,0.07727,0.02337,1,0
37,0.10073,0.02383,1,0
38,0.09902,0.02443,5,0
39,0.10072,0.0243,2,0
40,0.10404,0.02445,4,0
41,0.07789,0.02446,5,0
42,0.10117,0.02404,3,0
43,0.09846,0.02426,3,0
44,0.09965,0.02416,4,0
45,0.07836,0.02373,3,0
46,0.09698,0.02416,3,0
47,0.09986,0.02508,3,0
48,0.09825,0.0246,5,0
49,0.07874,0.02473,2,0
50,0.1017,0.02482,0,0
51,0.10351,0.02497,5,0
52,0.10003,0.02524,1,0
53,0.10074,0.02505,5,0
54,0.08002,0.02472,4,0
55,0.07903,0.0252,5,0
56,0.1205,0.02516,1,0
57,0.0997,0.02519,4,0
58,0.09789,0.02493,5,0
59,0.07935,0.02489,4,0
60,0.10077,0.02556,3,0
61,0.10125,0.02536,7,0
62,0.08008,0.02521,8,0
63,0.1048,0.02519,3,0
64,0.09714,0.02571,3,0
65,0.1008,0.02586,0,0
66,0.09973,0.02575,5,0
67,0.0784,0.02557,5,0
68,0.10081,0.02651,0,0
69,0.09681,0.02551,2,0
70,0.10137,0.02682,0,0
71,0.09838,0.02624,3,0
72,0.08075,0.02539,5,0
73,0.07916,0.0264,1,0
74,0.12157,0.02645,4,0
75,0.10063,0.02589,0,0
76,0.10016,0.0261,1,0
77,0.0985,0.02605,2,0
78,0.08059,0.02619,7,0
79,0.10104,0.02649,4,0
80,0.10398,0.02655,1,0
81,0.103,0.02713,5,0
82,0.10396,0.02653,2,0
83,0.08004,0.02653,6,0
84,0.09682,0.02699,3,0
85,0.1026,0.02728,4,0
86,0.07919,0.02682,5,0
87,0.20306,0.05117,2,0
88,0.11367,0.04836,4,0
89,0.16763,0.05115,6,0
90,0.115,0.05044,4,0
91,0.11387,0.05083,2,0
92,0.16651,0.04832,6,0
93,0.1177,0.04907,3,0
94,0.17136,0.05157,9,0
95,0.118,0.04993,1,0
96,0.11391,0.05128,5,0
97,0.14185,0.05149,5,0
98,0.14207,0.04962,0,0
99,0.14527,0.05233,4,0
100,0.14861,0.04918,3,0
101,0.11929,0.04928,6,0
