Iteration,Avg insertion times,Avg search times,insert_collisions,search_collisions
0,1.55036,0.07986,0,0
1,0.46586,0.0244,0,0
2,0.14993,0.02366,0,0
3,0.12392,0.02339,0,0
4,0.07916,0.0226,2,0
5,0.12541,0.02346,1,0
6,0.07963,0.02315,0,0
7,0.10091,0.02347,2,0
8,0.07803,0.02287,1,0
9,0.08006,0.02362,1,0
10,0.0993,0.02438,4,1
11,0.07947,0.02441,0,1
12,0.09647,0.02402,3,0
13,0.08212,0.02415,4,0
14,0.08129,0.02516,10,4
15,0.09579,0.02404,5,0
16,0.0799,0.02394,1,1
17,0.09659,0.02474,3,1
18,0.07824,0.02445,5,1
19,0.08159,0.02497,7,3
20,0.09963,0.02446,7,0
21,0.07722,0.02484,4,1
22,0.09973,0.02561,12,2
23,0.07801,0.02486,1,1
24,0.07968,0.02498,2,1
25,0.09957,0.02697,7,4
26,0.08177,0.02478,6,1
27,0.07952,0.02459,4,1
28,0.09674,0.02484,11,0
29,0.08154,0.02551,12,2
30,0.10058,0.02712,10,4
31,0.08146,0.02537,10,1
32,0.08049,0.02596,17,3
33,0.09756,0.02593,6,2
34,0.07901,0.02608,11,1
35,0.09809,0.02717,15,4
36,0.07981,0.02669,10,3
37,0.08113,0.02554,20,1
38,0.09847,0.026,9,1
39,0.07877,0.02675,7,3
40,0.10049,0.02641,18,2
41,0.07964,0.0252,15,1
42,0.08046,0.02668,10,3
43,0.09731,0.02805,9,6
44,0.08104,0.02628,7,1
45,0.10097,0.02688,11,2
46,0.0813,0.0297,11,8
47,0.10451,0.02755,10,3
48,0.09959,0.02717,7,3
49,0.08232,0.02739,14,3
50,0.08123,0.02731,15,2
51,0.10124,0.02656,11,1
52,0.07937,0.02826,12,4
53,0.10033,0.02784,13,5
54,0.08106,0.02998,15,8
55,0.08377,0.02804,21,3
56,0.09776,0.02838,20,5
57,0.0829,0.02834,14,2
58,0.09765,0.02967,15,6
59,0.0822,0.03044,20,7
60,0.08328,0.0292,16,6
61,0.10546,0.02712,24,2
62,0.08307,0.02911,15,4
63,0.09976,0.02697,9,1
64,0.08409,0.03036,24,8
65,0.08431,0.03058,24,6
66,0.09984,0.03202,17,11
67,0.08729,0.02776,28,3
68,0.08251,0.02962,20,6
69,0.09768,0.02931,12,4
70,0.0848,0.02943,28,4
71,0.10104,0.03078,25,7
72,0.08087,0.03092,21,8
73,0.08319,0.02998,24,6
74,0.09835,0.02904,21,3
75,0.08507,0.0302,33,7
76,0.10289,0.02839,33,3
77,0.08622,0.02912,30,5
78,0.08292,0.02934,21,3
79,0.09729,0.03065,21,4
80,0.08183,0.03211,18,8
81,0.10507,0.03438,23,16
82,0.08256,0.03015,24,5
83,0.08247,0.03059,25,7
84,0.10635,0.0317,29,7
85,0.08328,0.03085,25,4
86,0.10696,0.03065,40,4
87,0.08392,0.0288,28,2
88,0.08278,0.03141,22,7
89,0.10328,0.03191,27,7
90,0.08866,0.02995,45,3
91,0.08336,0.03093,29,5
92,0.1055,0.03279,27,9
93,0.08283,0.03009,26,4
94,0.10372,0.03291,32,10
