Iteration,Avg insertion times,Avg search times,insert_collisions,search_collisions
0,0.64789,0.06694,0,0
1,0.09997,0.02224,3,0
2,0.09679,0.02174,0,0
3,0.09623,0.02237,1,0
4,0.098,0.02202,6,0
5,0.09218,0.02207,5,0
6,0.0976,0.0229,6,0
7,0.09261,0.02281,2,0
8,0.09703,0.02332,8,1
9,0.07467,0.0223,6,0
10,0.09896,0.02324,16,0
11,0.07531,0.02236,11,0
12,0.11893,0.0234,13,0
13,0.07598,0.02448,11,2
14,0.07618,0.02277,13,1
15,0.12107,0.02348,14,0
16,0.07499,0.02249,9,0
17,0.11964,0.02333,9,0
18,0.07889,0.02324,23,1
19,0.10071,0.02334,22,0
20,0.09613,0.02402,18,1
21,0.07779,0.02448,21,2
22,0.10293,0.02409,25,1
23,0.09913,0.02403,27,1
24,0.10523,0.02458,36,1
25,0.1001,0.02367,25,0
26,0.10609,0.02509,38,2
27,0.07963,0.02406,30,1
28,0.10322,0.02398,35,1
29,0.09874,0.02474,26,2
30,0.10269,0.02549,34,4
31,0.10256,0.02476,28,2
32,0.08076,0.02442,31,2
33,0.09836,0.02374,20,0
34,0.08068,0.02365,32,1
35,0.12635,0.02522,39,1
36,0.07962,0.02434,25,2
37,0.10299,0.02392,30,0
38,0.10846,0.02521,60,3
39,0.10406,0.02672,36,8
40,0.10739,0.02461,52,0
41,0.0848,0.02767,46,9
42,0.54165,0.03057,38,5
43,0.10793,0.02711,50,2
44,0.10966,0.02743,55,1
45,0.08583,0.02708,41,3
46,0.09944,0.02787,26,2
47,0.10313,0.0296,29,8
48,0.1035,0.02626,42,1
49,0.08255,0.02616,32,2
50,0.10479,0.02837,35,9
51,0.10594,0.02794,47,4
52,0.10335,0.02684,30,2
53,0.10094,0.02616,31,1
54,0.0868,0.0253,54,1
55,0.08521,0.02622,51,2
56,0.13233,0.02759,70,5
57,0.10955,0.02598,58,0
58,0.10529,0.02765,48,4
59,0.0834,0.02533,40,1
60,0.10307,0.02682,40,2
61,0.10813,0.02508,58,0
62,0.08624,0.02704,47,2
63,0.10831,0.02769,57,3
64,0.10019,0.02566,34,0
65,0.1032,0.02822,30,5
66,0.10256,0.02665,40,2
67,0.08466,0.02736,44,4
68,0.10791,0.02789,50,4
69,0.10289,0.027,37,4
70,0.10314,0.02824,36,4
71,0.10334,0.02727,42,3
72,0.08691,0.02593,51,1
73,0.08259,0.03004,36,9
74,0.12372,0.02727,43,1
75,0.10225,0.02794,27,3
76,0.10766,0.02833,56,5
77,0.10375,0.0319,26,9
78,0.08633,0.02785,52,4
79,0.10904,0.02675,56,0
80,0.10731,0.02701,44,1
81,0.1109,0.02933,52,5
82,0.10443,0.02804,42,2
83,0.08838,0.02761,59,3
84,0.10237,0.02796,45,2
85,0.10528,0.02839,43,2
86,0.08749,0.02766,51,2
87,0.1272,0.02895,53,5
88,0.08317,0.02842,35,5
89,0.12815,0.0273,58,2
90,0.08716,0.03312,56,17
91,0.0882,0.03585,62,20
92,0.12872,0.02771,73,1
93,0.08446,0.02981,43,7
94,0.13,0.02769,53,2
95,0.08286,0.02921,34,2
96,0.0896,0.03121,63,7
97,0.10716,0.03033,53,7
98,0.10567,0.03096,38,5
99,0.10863,0.02844,51,1
100,0.10969,0.03055,67,6
101,0.08839,0.02818,58,2
102,0.12854,0.02932,48,4
103,0.09161,0.02985,71,5
104,0.12767,0.03039,51,5
105,0.0884,0.0296,56,3
106,0.10527,0.03495,27,21
