Iteration,Avg insertion times,Avg search times,insert_collisions,search_collisions
0,1.54307,0.07401,0,0
1,0.37958,0.02844,0,0
2,0.16316,0.02912,0,0
3,0.12929,0.02819,0,0
4,0.08725,0.02754,2,0
5,0.13123,0.02844,1,0
6,0.0867,0.02925,0,0
7,0.10635,0.02889,2,0
8,0.08838,0.0283,1,0
9,0.08781,0.02845,1,0
10,0.10883,0.02959,4,1
11,0.08914,0.02944,0,1
12,0.11003,0.02929,3,0
13,0.09176,0.02911,4,0
14,0.09155,0.03016,10,4
15,0.1131,0.02913,5,0
16,0.08726,0.02986,1,1
17,0.10603,0.02986,3,1
18,0.09064,0.02921,5,1
19,0.08911,0.03071,7,3
20,0.10862,0.02993,7,0
21,0.08923,0.02944,4,1
22,0.1167,0.03078,12,2
23,0.08926,0.03004,1,1
24,0.09099,0.03122,2,1
25,0.11301,0.03251,7,4
26,0.08971,0.03034,6,1
27,0.09042,0.03063,4,1
28,0.11359,0.0297,11,0
29,0.09534,0.03283,12,2
30,0.11054,0.03248,10,4
31,0.09205,0.03076,10,1
32,0.0969,0.03166,18,3
33,0.11249,0.03197,6,2
34,0.09316,0.03203,11,1
35,0.1152,0.0339,16,4
36,0.09422,0.03272,10,3
37,0.09397,0.03188,20,1
38,0.11349,0.03191,9,1
39,0.09167,0.03255,7,3
40,0.11851,0.03217,17,2
41,0.09371,0.03158,15,1
42,0.09442,0.0317,11,3
43,0.11399,0.03431,8,6
44,0.09098,0.03214,7,1
45,0.112,0.03284,11,2
46,0.09383,0.03548,11,8
47,0.11809,0.03334,10,3
48,0.10935,0.03328,7,3
49,0.09642,0.0326,14,3
50,0.09439,0.0331,15,2
51,0.11131,0.03245,12,1
52,0.09499,0.0344,12,4
53,0.11799,0.03558,12,5
54,0.09238,0.03752,15,8
55,0.096,0.0353,20,3
56,0.11955,0.0347,20,5
57,0.09174,0.03354,15,2
58,0.11641,0.03715,15,6
59,0.09308,0.03615,19,7
60,0.09093,0.03598,15,6
61,0.11585,0.03506,19,2
62,0.09553,0.03576,16,4
63,0.11359,0.03269,9,1
64,0.09648,0.03712,23,8
65,0.0982,0.03622,25,6
66,0.16801,0.0405,19,12
67,0.09991,0.03471,27,3
68,0.09523,0.03635,21,6
69,0.11317,0.03676,14,4
70,0.09818,0.03567,27,4
71,0.1177,0.0376,24,8
72,0.09578,0.03919,21,8
73,0.09546,0.03647,22,6
74,0.11427,0.03563,24,3
75,0.09931,0.0379,32,6
76,0.12389,0.03636,37,3
77,0.09595,0.03639,26,5
78,0.09239,0.03634,19,3
79,0.11512,0.03684,21,4
80,0.09209,0.03911,16,8
81,0.11553,0.04145,20,14
82,0.09397,0.03607,20,3
83,0.09639,0.03756,23,7
84,0.11886,0.03796,26,7
85,0.09767,0.03727,27,4
86,0.12319,0.03641,44,4
87,0.10025,0.03549,29,2
88,0.09588,0.03743,23,8
89,0.11789,0.03845,31,7
90,0.10531,0.03645,43,4
91,0.09494,0.03621,23,5
