Iteration,Avg insertion times,Avg search times,insert_collisions,search_collisions
0,0.63577,0.07949,0,0
1,0.12389,0.03089,3,0
2,0.13453,0.03036,0,0
3,0.11856,0.03153,1,0
4,0.12163,0.03146,6,0
5,0.11844,0.03077,5,0
6,0.12116,0.03101,6,0
7,0.1143,0.03245,2,0
8,0.12504,0.03293,8,1
9,0.09843,0.0308,6,0
10,0.12856,0.03246,16,0
11,0.10566,0.03481,12,0
12,0.1568,0.03503,13,0
13,0.10238,0.03343,11,2
14,0.10327,0.03594,13,1
15,0.15171,0.03389,15,0
16,0.10937,0.0336,9,0
17,0.16115,0.04092,9,0
18,0.1169,0.03723,18,1
19,0.15173,0.03566,21,0
20,0.14025,0.03744,16,1
21,0.11554,0.03357,22,2
22,0.16712,0.03676,24,1
23,0.11427,0.18763,25,0
24,0.7384,0.08664,31,1
25,0.21687,0.0755,23,0
26,0.21229,0.07067,32,2
27,0.20283,0.06927,30,1
28,0.1642,0.06336,31,1
29,0.19654,0.06652,17,2
30,0.20156,0.06325,37,5
31,0.20577,0.06177,26,2
32,0.16735,0.0611,27,2
33,0.19143,0.06135,21,0
34,0.17028,0.06025,28,0
35,0.24034,0.06176,37,1
36,0.16463,0.0603,23,1
37,0.2012,0.06025,29,0
38,0.20379,0.06167,50,0
39,0.19984,0.06207,27,4
40,0.20579,0.06018,46,0
41,0.17014,0.06495,43,6
42,0.20483,0.0653,34,5
43,0.20163,0.06064,42,2
44,0.20617,0.06077,49,0
45,0.20284,0.06534,43,3
46,0.16219,0.06204,23,0
47,0.19377,0.0659,28,6
48,0.195,0.06479,38,1
49,0.15541,0.06676,32,1
50,0.23248,0.07377,37,6
51,0.84862,0.06314,53,3
52,0.1727,0.05436,33,1
53,0.15446,0.05168,32,1
54,0.13283,0.051,47,2
55,0.12426,0.04903,35,2
56,0.18407,0.04715,55,3
57,0.15265,0.04719,49,0
58,0.145,0.04622,41,3
59,0.12447,0.04324,42,1
60,0.14437,0.04427,30,3
61,0.15439,0.04407,56,1
62,0.12519,0.04267,51,1
63,0.17554,0.03887,57,1
64,0.12015,0.03966,39,1
65,0.14214,0.04336,34,6
66,0.14293,0.04036,45,3
67,0.11784,0.04087,37,2
68,0.16667,0.04399,35,4
69,0.11262,0.0394,30,2
70,0.14024,0.04103,34,3
71,0.14184,0.04343,44,6
72,0.12147,0.04081,47,3
73,0.13964,0.04003,36,1
74,0.1409,0.03864,43,0
75,0.13624,0.03911,23,2
76,0.13948,0.0379,39,2
77,0.13486,0.04511,24,9
78,0.11845,0.04027,42,4
79,0.53017,0.04361,48,0
80,0.1431,0.04399,42,2
81,0.14387,0.04377,54,3
82,0.14243,0.04246,47,4
83,0.12211,0.04127,54,2
84,0.14189,0.04425,48,7
85,0.1428,0.04056,40,1
86,0.25346,0.07944,51,5
87,0.24187,0.08675,41,4
88,0.21233,0.08266,40,7
89,0.20777,0.07924,36,3
90,0.1799,0.07937,48,7
91,0.21253,0.0853,50,18
92,0.20974,0.07742,54,2
93,0.20634,0.07936,36,7
94,0.20599,0.07649,48,6
95,0.16475,0.07637,23,4
96,0.20504,0.07657,46,6
97,0.16777,0.07634,40,6
98,0.22,0.076,24,6
99,0.175,0.07183,50,1
100,0.20266,0.07709,43,7
101,0.20621,0.06994,50,2
102,0.2032,0.06941,43,2
103,0.20209,0.07377,50,7
104,0.19943,0.07267,45,4
105,0.17363,0.07331,48,3
106,0.22068,0.07744,28,11
107,0.16774,0.07339,39,6
108,0.15705,0.0746,19,7
109,0.22703,0.07397,36,4
110,0.16191,0.07456,39,3
111,0.19186,0.0752,46,4
112,0.19097,0.07402,48,3
113,0.13196,0.04833,41,2
114,0.1725,0.05339,35,8
115,0.11842,0.04883,41,6
116,0.1994,0.05073,32,9
117,0.13633,0.04774,33,3
118,0.12293,0.05049,53,6
119,0.13606,0.04806,27,2
120,0.13827,0.0488,26,4
121,0.14173,0.04533,39,2
122,0.14819,0.04753,51,4
123,0.12016,0.0452,40,7
124,0.13619,0.04597,31,4
125,0.11377,0.04687,34,4
126,0.1662,0.04626,43,7
127,0.1243,0.04564,56,5
128,0.14562,0.04754,49,4
129,0.14579,0.04739,52,6
130,0.14876,0.04764,56,10
131,0.12205,0.04615,43,5
132,0.16082,0.04663,36,8
133,0.11595,0.04761,34,7
134,0.14933,0.04483,53,1
135,0.14059,0.04131,39,1
136,0.12504,0.04723,48,7
137,0.17253,0.04412,52,3
138,0.11854,0.04562,40,2
139,0.14284,0.0457,43,8
140,0.13676,0.04851,29,6
141,0.11123,0.04437,28,5
142,0.1587,0.04781,27,10
143,0.11651,0.04644,41,5
144,0.13615,0.04851,37,6
145,0.14058,0.04443,31,6
146,0.11247,0.04554,28,6
147,0.13884,0.04613,30,5
148,0.1451,0.0435,37,1
149,0.11239,0.04698,28,6
150,0.14466,0.04643,41,4
151,0.13511,0.04404,55,2
152,0.13851,0.04648,29,9
153,0.13096,0.04857,47,5
154,0.13146,0.04354,45,1
155,0.14412,0.04629,34,6
156,0.12859,0.04494,40,4
157,0.15254,0.044,36,3
158,0.13279,0.04464,55,4
159,0.12646,0.04702,32,5
160,0.16338,0.04843,55,8
161,0.12674,0.04563,38,2
162,0.14555,0.04704,34,4
163,0.12583,0.04437,39,2
164,0.12981,0.04503,41,3
165,0.16098,0.04961,62,13
166,0.13933,0.04937,50,12
167,0.15643,0.04569,62,5
168,0.14085,0.04417,61,5
169,0.12979,0.04647,44,7
170,0.1503,0.04476,43,7
171,0.13167,0.0483,57,12
172,0.12435,0.04691,36,6
173,0.1514,0.04929,54,9
174,0.13961,0.04687,56,8
175,0.15942,0.04327,65,0
176,0.13917,0.04496,69,6
177,0.14152,0.0474,72,6
178,0.15606,0.0491,64,7
179,0.14033,0.04363,79,3
180,0.1598,0.04786,69,8
181,0.15038,0.05049,77,12
182,0.1346,0.04991,70,12
183,0.15933,0.05146,70,12
184,0.13623,0.04632,59,6
185,0.16323,0.04774,90,5
186,0.13733,0.04873,66,9
187,0.13908,0.04244,77,1
188,0.16134,0.04746,77,8
189,0.14136,0.04477,82,4
190,0.17014,0.04757,112,6
191,0.14723,0.04566,86,4
192,0.15104,0.04704,108,7
193,0.17482,0.04671,107,3
194,0.14207,0.04844,74,7
195,0.15064,0.04703,100,9
196,0.18054,0.04389,119,3
197,0.16174,0.04966,133,12
198,0.17683,0.04513,109,6
199,0.15599,0.04852,128,8
200,0.15201,0.05038,124,11
201,0.17602,0.04898,134,10
202,0.15602,0.04756,141,8
203,0.16716,0.05039,107,13
204,0.16279,0.05257,150,14
205,0.16264,0.05516,167,17
206,0.18352,0.04397,142,3
207,0.16909,0.05013,189,11
208,0.18299,0.055,153,19
209,0.1696,0.04896,176,8
210,0.16421,0.05116,181,13
211,0.18966,0.05891,198,21
212,0.16143,0.06025,178,23
213,0.16614,0.0548,199,19
214,0.19048,0.04826,209,10
215,0.16413,0.05736,193,23
216,0.19394,0.05153,221,18
217,0.1666,0.04973,211,11
218,0.17735,0.05721,261,23
219,0.205,0.05091,259,13
220,0.16915,0.05619,223,19
221,0.20176,0.05937,277,30
222,0.40442,0.08785,252,17
223,0.18067,0.0809,243,20
224,0.24335,0.07045,346,16
225,0.17697,0.07147,254,17
226,0.17673,0.06871,246,16
227,0.22439,0.07823,386,28
228,0.19042,0.06934,340,20
229,0.21888,0.06644,375,20
230,0.19686,0.08109,365,44
231,0.18442,0.06779,312,21
232,0.208,0.07482,312,29
233,0.19004,0.0751,348,31
234,0.19876,0.08185,390,34
235,0.22483,0.0811,431,50
236,0.20669,0.07173,441,29
237,0.22753,0.06607,433,19
238,0.21322,0.07493,487,40
239,0.23995,0.06787,662,25
240,0.22921,0.07083,412,24
241,0.21423,0.08309,467,36
242,0.2429,0.07004,506,34
243,0.20825,0.08396,458,64
244,0.22554,0.0723,570,20
245,0.25121,0.0782,571,39
246,0.28796,0.11487,701,44
247,0.34048,0.11257,429,24
248,0.2551,0.09461,703,51
249,0.2541,0.08706,728,43
250,0.25616,0.0932,555,40
251,0.21564,0.09632,483,67
252,0.23907,0.09184,502,49
253,0.23567,0.08662,617,23
254,0.24117,0.09597,657,74
255,0.31397,0.08767,974,52
256,0.23168,0.09131,603,51
257,0.27847,0.13597,887,182
258,0.29936,0.09629,828,43
259,0.28673,0.11437,914,74
260,0.3015,0.11034,888,98
261,0.30362,0.10905,1065,75
262,0.3098,0.09646,1095,45
263,0.28581,0.10638,746,60
264,0.26289,0.10404,767,84
265,0.30299,0.1499,863,105
266,0.29983,0.10844,1036,81
267,1.35723,0.21644,897,70
268,0.46736,0.16578,751,41
269,0.56486,0.117,943,58
270,0.4231,0.14678,960,144
271,0.3212,0.11496,860,55
272,0.32488,0.15566,1001,104
273,0.38984,0.10686,1059,79
