Iteration,Avg insertion times,Avg search times
0,0.41,0.26,
1,0.68,0.45,
2,1.1,0.71,
3,1.51,0.8,
4,1.9,1.02,
5,2.33,1.15,
6,2.72,1.42,
7,3.15,1.66,
8,3.54,2.03,
9,3.95,2.08,
10,4.39,2.08,
11,4.78,2.69,
12,5.21,2.81,
13,5.6,2.9,
14,6.03,3.14,
15,6.48,3.18,
16,6.9,3.57,
17,7.31,3.88,
18,7.68,3.76,
19,8.07,4.15,
20,8.49,4.27,
21,8.88,4.71,
22,9.29,4.76,
23,9.71,4.98,
24,10.12,5.06,
25,16.06,7.63,
26,14.63,5.99,
27,13.84,5.73,
28,14.72,6.24,
29,14.86,5.83,
30,15.4,7.79,
31,15.87,8.31,
32,16.36,7.73,
33,16.89,8.26,
34,17.38,7.78,
35,17.86,8.22,
36,18.69,9.18,
37,18.02,9.02,
38,17.97,9.16,
39,18.45,10.07,
40,18.88,10.02,
41,19.4,9.34,
42,19.77,10.79,
43,20.31,8.93,
44,20.68,11.13,
45,22.06,10.82,
46,23.44,11.2,
47,23.86,11.32,
48,24.38,10.27,
49,24.89,11.65,
50,25.37,12.89,
51,25.29,12.15,
52,21.83,9.35,
53,24.86,12.97,
54,25.38,12.32,
55,25.88,12.9,
56,27.46,11.29,
57,23.61,11.79,
58,24.07,11.32,
59,24.45,12.62,
60,52.36,21.43,
61,31.75,15.36,
62,31.37,14.53,
63,31.92,15.77,
64,32.39,15.26,
65,31,13.96,
66,27.3,13.92,
67,27.72,14.37,
68,28.16,13.6,
69,28.53,13.84,
70,29.21,13.08,
71,52.36,22.5,
72,37.02,18.29,
73,36.9,17.99,
74,37.72,20.02,
75,35.6,15.78,
76,31.4,15.32,
77,32.6,15.78,
78,32.22,15.85,
79,33.54,16.4,
80,33.07,18.79,
81,41.1,19.62,
82,41.47,21.19,
83,43.55,21.34,
84,42.19,18.53,
85,42.51,19.47,
86,38.09,19.23,
87,35.96,17.64,
88,36.34,16.32,
89,43,24.76,
90,45.5,22.3,
91,46.12,25.45,
92,37.99,18.37,
93,42.67,21.34,
94,38.83,19.09,
95,41.76,25.1,
96,48.51,24.57,
97,46.4,24.89,
98,42.74,21.24,
99,40.91,18.82,
100,41.24,20.23,
101,42.91,21.31,
102,42.07,23.72,
103,42.51,21.24,
104,54.67,25.4,
105,56.57,27.07,
106,53.75,24.92,
107,54.25,25.11,
108,50.3,22.42,
109,44.93,23.64,
110,45.39,21.5,
111,46.68,21.79,
112,54.45,27.52,
113,57.08,21.42,
114,46.99,25.07,
115,48.71,27.08,
116,47.88,24.36,
117,48.69,23.37,
118,48.64,20.91,
119,70.33,30.2,
120,59.65,29.26,
121,59.57,31.63,
122,59.62,24.3,
123,62.15,36.76,
124,60.75,33.5,
125,64.1,29.31,
126,63.67,31.23,
127,64.09,28.83,
128,62.78,30.63,
129,63.6,30.32,
130,65.07,33.15,
131,67.33,32.66,
132,68.06,31.89,
133,67.92,32.34,
134,74.63,32.97,
135,71.29,36.08,
136,76.61,35.87,
137,74.69,37.22,
138,76.43,35.99,
139,70.57,34.83,
140,72.56,32.66,
141,74.93,38.24,
142,70.09,32.54,
143,71.29,36.51,
144,72.93,35.1,
145,71.21,33.87,
146,76.09,37.55,
147,75.36,38.05,
148,79.07,33.19,
149,75.35,38.12,
150,75.85,41.47,
151,77.79,38.04,
152,76.39,35.7,
153,78.32,37.41,
154,79.19,38.81,
155,77.3,34.29,
156,77.18,39.48,
157,78.59,37.83,
158,84.44,42.27,
159,84.58,37.95,
160,80.09,41.35,
161,82.14,38.73,
162,88.25,33.32,
163,83.58,38.15,
164,82.96,41.26,
165,85.07,36.41,
166,83.96,46.71,
167,87.28,42.52,
168,86.89,41.95,
169,88.48,39,
170,82.9,44.66,
171,84.96,44.62,
172,86.66,42.77,
173,88.16,41.34,
174,90.33,41.1,
175,87.93,42.34,
176,87.51,44.01,
177,95,41.37,
178,90.11,48.1,
179,92.12,39.28,
180,98.4,48.68,
181,100.75,47.84,
182,93.18,45.65,
183,95.11,44.46,
184,91.93,45.75,
185,96.65,46.95,
186,92.14,41.23,
187,95.67,41.69,
188,97.7,50.78,
189,99.8,47.37,
190,98.16,51.02,
191,107.94,45.41,
192,107.45,55.17,
193,108.79,48.29,
194,97.74,54.37,
195,108.72,52.05,
196,111.32,43.2,
197,108.87,50.18,
198,107.16,50.69,
199,100.63,52.99,
200,111.5,53.61,
201,103.39,46.23,
202,104.94,51.23,
203,112.76,52.15,
204,114.23,51.66,
205,114.66,53.94,
206,103.77,48.11,
207,103.86,50.47,
208,108.93,51.78,
209,106.48,48.86,
210,104.31,53.37,
211,110.54,48.43,
212,105.25,52.6,
213,108.07,48.35,
214,106.19,54.39,
215,109.18,53.25,
216,117.72,50.66,
217,109.12,51.66,
218,99.64,40.01,
219,90.73,55.96,
220,103.82,40.32,
221,98.27,51.27,
222,103.23,46.87,
223,125.4,55.12,
224,113.16,46.62,
225,105.66,54.55,
226,109.3,50.96,
227,106.49,47.07,
228,101.05,46.09,
229,94.84,43.95,
230,103.53,55.29,
231,99.61,44.29,
232,97.83,47.26,
233,97.55,42.8,
234,99.66,47.89,
235,97.04,55.36,
236,119.96,52.13,
237,116.45,51.92,
238,110.81,49.17,
239,112.26,41.99,
240,99.06,47.17,
241,100.11,41.71,
242,103.75,45.01,
243,113.03,49.23,
244,116.16,51.12,
245,114.44,54.02,
246,114.37,51.71,
247,132.13,63.24,
248,115.81,52.98,
249,109.96,55.57,
250,126.7,57.95,
251,132.28,58.85,
252,128.95,58.35,
253,129.95,64.19,
254,128.13,60.33,
255,126.29,59.93,
256,126.85,56.05,
257,128.02,65.38,
258,128.53,61.28,
259,131.11,64.63,
260,129.69,59.77,
261,130.9,58.9,
262,134.81,63.22,
263,135.45,59.85,
264,135.3,62.3,
265,131.62,65.07,
266,134.02,66.73,
267,146.66,65.94,
268,134.26,59.02,
269,133.31,58.48,
270,135.76,66.65,
271,135.01,60.02,
272,138.22,71.56,
273,136.67,58.54,
274,137.55,62.13,
275,139.68,67.86,
276,138.75,64.37,
277,138.77,75.05,
278,142.9,63.99,
279,140.77,61.38,
280,147.6,69.07,
