Iteration,Avg insertion times,Avg search times
0,0.34,0.29,
1,0.76,0.49,
2,1.65,0.84,
3,1.79,0.95,
4,2.35,1.21,
5,2.82,1.36,
6,3.26,1.69,
7,3.78,1.98,
8,4.46,2.29,
9,4.51,2.29,
10,5.24,2.42,
11,5.72,3.09,
12,6.28,3.07,
13,6.67,3.26,
14,7.18,3.73,
15,7.78,3.73,
16,8.17,4.06,
17,8.64,4.5,
18,9.08,4.18,
19,9.69,6.06,
20,10.22,4.94,
21,11.27,5.4,
22,11.27,5.48,
23,11.76,5.79,
24,11.99,5.91,
25,12.48,6.68,
26,13.03,6.61,
27,14,6.18,
28,14.37,6.74,
29,15.11,6.1,
30,15.39,7.92,
31,15.1,8.21,
32,15.99,8.1,
33,16.51,8.1,
34,17.14,8.3,
35,17.67,8.18,
36,17.76,8.67,
37,18.43,9.64,
38,19.19,9.3,
39,19.58,10.1,
40,20.12,11.71,
41,22.32,9.46,
42,21.01,11.29,
43,21.57,9.17,
44,22.09,10.51,
45,22.4,10.68,
46,22.62,10.63,
47,25.86,10.76,
48,24.09,10.01,
49,24.27,10.91,
50,25.71,12.52,
51,25.45,12.53,
52,25.61,10.28,
53,26.92,13.15,
54,26.52,13.24,
55,27.45,13.33,
56,27.78,12.48,
57,28.52,12.4,
58,29.28,13.44,
59,29.2,13.76,
60,30.16,14.17,
61,30.96,15.17,
62,30.85,14.34,
63,31.21,14.99,
64,29.83,14.36,
65,30.81,16.15,
66,30.81,14.93,
67,31.21,15.56,
68,31.7,14.73,
69,32.4,15.09,
70,32.71,14.36,
71,33.16,15.27,
72,33.63,16.42,
73,34.03,16.27,
74,34.91,18.83,
75,35.14,16.77,
76,35.71,16.9,
77,35.81,17.15,
78,36.35,16.83,
79,36.73,18.85,
80,37.51,17.3,
81,37.81,17.87,
82,38.16,18.52,
83,38.59,19.96,
84,39.7,18.9,
85,39.53,19.36,
86,40.06,19.65,
87,40.65,19.2,
88,40.96,18.29,
89,43.75,23.45,
90,44.67,21.74,
91,44.95,25.46,
92,44.89,21.63,
93,45.1,21.46,
94,44.22,20.67,
95,44.18,21.63,
96,44.62,22.66,
97,47,23.46,
98,48,25.39,
